day,new_cases
2018-03-21,41432.67741935484
2018-03-22,41933.16129032258
2018-03-23,42433.64516129032
2018-03-24,42934.12903225806
2018-03-25,43434.6129032258
2018-03-26,43935.096774193546
2018-03-27,44435.58064516129
2018-03-28,44936.06451612903
2018-03-29,45436.54838709677
2018-03-30,45937.032258064515
2018-03-31,46437.51612903226
2018-04-01,46938.0
2018-04-02,47717.73333333333
2018-04-03,48497.46666666667
2018-04-04,49277.2
2018-04-05,50056.933333333334
2018-04-06,50836.666666666664
2018-04-07,51616.4
2018-04-08,52396.13333333333
2018-04-09,53175.86666666667
2018-04-10,53955.6
2018-04-11,54735.333333333336
2018-04-12,55515.066666666666
2018-04-13,56294.8
2018-04-14,57074.53333333333
2018-04-15,57854.26666666666
2018-04-16,58634.0
2018-04-17,59413.73333333334
2018-04-18,60193.46666666667
2018-04-19,60973.2
2018-04-20,61752.933333333334
2018-04-21,62532.66666666667
2018-04-22,63312.4
2018-04-23,64092.13333333333
2018-04-24,64871.86666666667
2018-04-25,65651.6
2018-04-26,66431.33333333333
2018-04-27,67211.06666666667
2018-04-28,67990.8
2018-04-29,68770.53333333333
2018-04-30,69550.26666666666
2018-05-01,70330.0
2018-05-02,70275.83870967742
2018-05-03,70221.67741935483
2018-05-04,70167.51612903226
2018-05-05,70113.35483870968
2018-05-06,70059.19354838709
2018-05-07,70005.03225806452
2018-05-08,69950.87096774194
2018-05-09,69896.70967741935
2018-05-10,69842.54838709677
2018-05-11,69788.3870967742
2018-05-12,69734.2258064516
2018-05-13,69680.06451612903
2018-05-14,69625.90322580645
2018-05-15,69571.74193548386
2018-05-16,69517.58064516129
2018-05-17,69463.41935483871
2018-05-18,69409.25806451614
2018-05-19,69355.09677419355
2018-05-20,69300.93548387097
2018-05-21,69246.7741935484
2018-05-22,69192.6129032258
2018-05-23,69138.45161290323
2018-05-24,69084.29032258065
2018-05-25,69030.12903225806
2018-05-26,68975.96774193548
2018-05-27,68921.80645161291
2018-05-28,68867.64516129032
2018-05-29,68813.48387096774
2018-05-30,68759.32258064517
2018-05-31,68705.16129032258
2018-06-01,68651.0
2018-06-02,67530.23333333334
2018-06-03,66409.46666666666
2018-06-04,65288.7
2018-06-05,64167.933333333334
2018-06-06,63047.166666666664
2018-06-07,61926.4
2018-06-08,60805.63333333333
2018-06-09,59684.86666666667
2018-06-10,58564.1
2018-06-11,57443.333333333336
2018-06-12,56322.566666666666
2018-06-13,55201.8
2018-06-14,54081.03333333333
2018-06-15,52960.26666666666
2018-06-16,51839.5
2018-06-17,50718.73333333334
2018-06-18,49597.96666666667
2018-06-19,48477.2
2018-06-20,47356.433333333334
2018-06-21,46235.66666666667
2018-06-22,45114.9
2018-06-23,43994.13333333333
2018-06-24,42873.36666666667
2018-06-25,41752.6
2018-06-26,40631.83333333333
2018-06-27,39511.066666666666
2018-06-28,38390.3
2018-06-29,37269.53333333333
2018-06-30,36148.76666666666
2018-07-01,35028.0
2018-07-02,34449.3870967742
2018-07-03,33870.77419354839
2018-07-04,33292.16129032258
2018-07-05,32713.548387096773
2018-07-06,32134.93548387097
2018-07-07,31556.32258064516
2018-07-08,30977.709677419356
2018-07-09,30399.09677419355
2018-07-10,29820.483870967742
2018-07-11,29241.870967741936
2018-07-12,28663.25806451613
2018-07-13,28084.645161290322
2018-07-14,27506.032258064515
2018-07-15,26927.41935483871
2018-07-16,26348.8064516129
2018-07-17,25770.1935483871
2018-07-18,25191.580645161288
2018-07-19,24612.967741935485
2018-07-20,24034.354838709678
2018-07-21,23455.74193548387
2018-07-22,22877.129032258064
2018-07-23,22298.516129032258
2018-07-24,21719.90322580645
2018-07-25,21141.290322580644
2018-07-26,20562.67741935484
2018-07-27,19984.06451612903
2018-07-28,19405.451612903227
2018-07-29,18826.838709677417
2018-07-30,18248.225806451614
2018-07-31,17669.612903225807
2018-08-01,17091.0
2018-08-02,17273.354838709678
2018-08-03,17455.709677419356
2018-08-04,17638.06451612903
2018-08-05,17820.41935483871
2018-08-06,18002.774193548386
2018-08-07,18185.129032258064
2018-08-08,18367.483870967742
2018-08-09,18549.83870967742
2018-08-10,18732.1935483871
2018-08-11,18914.548387096773
2018-08-12,19096.90322580645
2018-08-13,19279.25806451613
2018-08-14,19461.612903225807
2018-08-15,19643.967741935485
2018-08-16,19826.32258064516
2018-08-17,20008.677419354837
2018-08-18,20191.032258064515
2018-08-19,20373.387096774193
2018-08-20,20555.74193548387
2018-08-21,20738.09677419355
2018-08-22,20920.451612903227
2018-08-23,21102.8064516129
2018-08-24,21285.16129032258
2018-08-25,21467.516129032258
2018-08-26,21649.870967741936
2018-08-27,21832.225806451614
2018-08-28,22014.580645161288
2018-08-29,22196.93548387097
2018-08-30,22379.290322580644
2018-08-31,22561.645161290322
2018-09-01,22744.0
2018-09-02,23177.633333333335
2018-09-03,23611.266666666666
2018-09-04,24044.9
2018-09-05,24478.533333333333
2018-09-06,24912.166666666668
2018-09-07,25345.8
2018-09-08,25779.433333333334
2018-09-09,26213.066666666666
2018-09-10,26646.7
2018-09-11,27080.333333333332
2018-09-12,27513.966666666667
2018-09-13,27947.6
2018-09-14,28381.233333333334
2018-09-15,28814.86666666667
2018-09-16,29248.5
2018-09-17,29682.13333333333
2018-09-18,30115.766666666666
2018-09-19,30549.4
2018-09-20,30983.033333333333
2018-09-21,31416.666666666664
2018-09-22,31850.3
2018-09-23,32283.933333333334
2018-09-24,32717.566666666666
2018-09-25,33151.2
2018-09-26,33584.833333333336
2018-09-27,34018.46666666667
2018-09-28,34452.1
2018-09-29,34885.73333333334
2018-09-30,35319.36666666667
2018-10-01,35753.0
2018-10-02,36418.645161290326
2018-10-03,37084.290322580644
2018-10-04,37749.93548387097
2018-10-05,38415.58064516129
2018-10-06,39081.22580645161
2018-10-07,39746.87096774194
2018-10-08,40412.51612903226
2018-10-09,41078.16129032258
2018-10-10,41743.8064516129
2018-10-11,42409.45161290323
2018-10-12,43075.096774193546
2018-10-13,43740.74193548387
2018-10-14,44406.3870967742
2018-10-15,45072.032258064515
2018-10-16,45737.67741935484
2018-10-17,46403.32258064516
2018-10-18,47068.967741935485
2018-10-19,47734.6129032258
2018-10-20,48400.25806451613
2018-10-21,49065.903225806454
2018-10-22,49731.54838709677
2018-10-23,50397.1935483871
2018-10-24,51062.83870967742
2018-10-25,51728.48387096774
2018-10-26,52394.12903225806
2018-10-27,53059.77419354839
2018-10-28,53725.41935483871
2018-10-29,54391.06451612903
2018-10-30,55056.709677419356
2018-10-31,55722.35483870968
2018-11-01,56388.0
2018-11-02,56665.166666666664
2018-11-03,56942.333333333336
2018-11-04,57219.5
2018-11-05,57496.666666666664
2018-11-06,57773.833333333336
2018-11-07,58051.0
2018-11-08,58328.166666666664
2018-11-09,58605.333333333336
2018-11-10,58882.5
2018-11-11,59159.666666666664
2018-11-12,59436.833333333336
2018-11-13,59714.0
2018-11-14,59991.166666666664
2018-11-15,60268.333333333336
2018-11-16,60545.5
2018-11-17,60822.666666666664
2018-11-18,61099.833333333336
2018-11-19,61377.0
2018-11-20,61654.166666666664
2018-11-21,61931.333333333336
2018-11-22,62208.5
2018-11-23,62485.666666666664
2018-11-24,62762.833333333336
2018-11-25,63040.0
2018-11-26,63317.166666666664
2018-11-27,63594.333333333336
2018-11-28,63871.5
2018-11-29,64148.666666666664
2018-11-30,64425.833333333336
2018-12-01,64703.0
